OA Code,LA Name,Region Name,OAC11UK0039
E00158121,North Warwickshire,West Midlands,32.03125,
E00052197,Walsall,West Midlands,36.3265306122449,
E00052116,Walsall,West Midlands,2.28310502283105,
E00158126,North Warwickshire,West Midlands,24.4897959183673,
E00158125,North Warwickshire,West Midlands,18.5185185185185,
E00052117,Walsall,West Midlands,14.5584725536993,
E00052196,Walsall,West Midlands,34.0823970037453,
E00052195,Walsall,West Midlands,40.080971659919,
E00052114,Walsall,West Midlands,14.1414141414141,
E00158124,North Warwickshire,West Midlands,19.7761194029851,
E00052110,Walsall,West Midlands,26.271186440678,
E00052191,Walsall,West Midlands,35.7664233576642,
E00158128,North Warwickshire,West Midlands,23.3333333333333,
E00049935,Dudley,West Midlands,9.77443609022556,
E00048949,Coventry,West Midlands,46.0629921259843,
E00049930,Dudley,West Midlands,10.3703703703704,
E00049931,Dudley,West Midlands,16.8181818181818,
E00049191,Dudley,West Midlands,20.6896551724138,
E00051076,Sandwell,West Midlands,15.1057401812689,
E00051077,Sandwell,West Midlands,6.70103092783505,
E00051074,Sandwell,West Midlands,6.66666666666667,
E00051075,Sandwell,West Midlands,14.5933014354067,
E00051072,Sandwell,West Midlands,7.05128205128205,
E00158072,North Warwickshire,West Midlands,16.4516129032258,
E00158073,North Warwickshire,West Midlands,6.89655172413793,
E00158070,North Warwickshire,West Midlands,25.8720930232558,
E00158071,North Warwickshire,West Midlands,10.8225108225108,
E00158077,North Warwickshire,West Midlands,14.8148148148148,
E00158074,North Warwickshire,West Midlands,6.52173913043478,
E00050837,Sandwell,West Midlands,14.1210374639769,
E00050834,Sandwell,West Midlands,16.4305949008499,
E00158079,North Warwickshire,West Midlands,22.0779220779221,
E00050833,Sandwell,West Midlands,13.5714285714286,
E00050097,Dudley,West Midlands,14.6118721461187,
E00050016,Dudley,West Midlands,12.8318584070796,
E00050015,Dudley,West Midlands,22.7799227799228,
E00050094,Dudley,West Midlands,17.2932330827068,
E00049845,Dudley,West Midlands,33.0543933054393,
E00052376,Walsall,West Midlands,39.9463806970509,
E00052375,Walsall,West Midlands,14.041095890411,
E00052372,Walsall,West Midlands,7.94392523364486,
E00052373,Walsall,West Midlands,9.21052631578947,
E00052370,Walsall,West Midlands,15.9533073929961,
E00050326,Sandwell,West Midlands,27.9151943462898,
E00050322,Sandwell,West Midlands,16.7272727272727,
E00050321,Sandwell,West Midlands,18.957345971564,
E00050328,Sandwell,West Midlands,12.2171945701357,
E00158312,Nuneaton and Bedworth,West Midlands,15.9090909090909,
E00158393,Nuneaton and Bedworth,West Midlands,17.2268907563025,
E00158313,Nuneaton and Bedworth,West Midlands,15.0406504065041,
E00158392,Nuneaton and Bedworth,West Midlands,20.4918032786885,
E00158310,Nuneaton and Bedworth,West Midlands,15.7446808510638,
E00158391,Nuneaton and Bedworth,West Midlands,17.5438596491228,
E00158390,Nuneaton and Bedworth,West Midlands,20.6349206349206,
E00158311,Nuneaton and Bedworth,West Midlands,17.5298804780877,
E00158396,Nuneaton and Bedworth,West Midlands,13.75,
E00158317,Nuneaton and Bedworth,West Midlands,14.5454545454545,
E00158395,Nuneaton and Bedworth,West Midlands,15.3005464480874,
E00158315,Nuneaton and Bedworth,West Midlands,16.2162162162162,
E00158394,Nuneaton and Bedworth,West Midlands,26.9230769230769,
E00158318,Nuneaton and Bedworth,West Midlands,9.6,
E00158399,Nuneaton and Bedworth,West Midlands,20.9606986899563,
E00158319,Nuneaton and Bedworth,West Midlands,13.2420091324201,
E00158398,Nuneaton and Bedworth,West Midlands,17.9775280898876,
E00049371,Dudley,West Midlands,15.5844155844156,
E00172213,Coventry,West Midlands,25.6,
E00168228,Sandwell,West Midlands,8.07692307692308,
E00168222,Sandwell,West Midlands,27.9835390946502,
